Released by,debug pattern name,Pattern directory,Comments
CC,gapsq0_sz131072_of0_i1000_imm0xfffb_gap0_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/gapsq0_sz131072_of0_i1000_imm0xfffb_gap0_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5; then x7y4, shmoo refclk=50,75,100ns, vddcpu=700,800,900,1000,1100,1200mV; all need logs"
CC,gapsq1_sz131072_of0_i1000_imm0x0_gap0_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/gapsq1_sz131072_of0_i1000_imm0x0_gap0_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,gapsq1_sz131072_of0_i1000_imm0x5555_gap0_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/gapsq1_sz131072_of0_i1000_imm0x5555_gap0_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,gapsq1_sz131072_of0_i1000_imm0xfffb_gap0_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/gapsq1_sz131072_of0_i1000_imm0xfffb_gap0_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,gapsq2_sz131072_of0_i1000_imm0x0_gap0_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/gapsq2_sz131072_of0_i1000_imm0x0_gap0_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,gapsq2_sz131072_of0_i1000_imm0x5555_gap0_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/gapsq2_sz131072_of0_i1000_imm0x5555_gap0_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,gapsq2_sz131072_of0_i1000_imm0xfffb_gap0_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/gapsq2_sz131072_of0_i1000_imm0xfffb_gap0_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,gapsq3_sz131072_of0_i1000_imm0x0_gap0_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/gapsq3_sz131072_of0_i1000_imm0x0_gap0_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5; then x7y4, shmoo refclk=50,75,100ns, vddcpu=700,800,900,1000,1100,1200mV; all need logs"
CC,gapsq3_sz131072_of0_i1000_imm0x5555_gap0_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/gapsq3_sz131072_of0_i1000_imm0x5555_gap0_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5, all need logs"
CC,gapsq3_sz131072_of0_i1000_imm0xfffb_gap0_bup_cf_info_051725_1,/projects/ga0/patterns/func/eval/051725/gapsq3_sz131072_of0_i1000_imm0xfffb_gap0_bup_cf_info_051725_1.stil,"x7y4, x7y5, x8y5; then x7y4, shmoo refclk=50,75,100ns, vddcpu=700,800,900,1000,1100,1200mV; all need logs"
